Country,Teaching,International,Research,Citations,Income
United States of America,41.04965517,42.47034483,37.48965517,71.03310345,44.50220588
China,30.33243243,23.85945946,24.88378378,27.71081081,69.05
Israel,31.8,50.33333333,32.88333333,44.08333333,31.91666667
