Country,Teaching,International,Research,Citations,Income
United States of America,43.04965517,45.47034483,38.45964517,61.03310345,40.50220588
China,35.33243243,20.85945946,23.88378378,26.71081081,66.05
Israel,31.876587,48.33333333,35.88333333,43.08333333,35.91666667
