Country,Teaching,International,Research,Citations,Income
United States of America,31.04965517,40.47034483,37.48965517,81.03310345,34.50220588
China,20.33243243,33.85945946,44.88378378,25.71081081,49.05
Israel,21.8,60.33333333,22.88333333,49.08333333,21.91666667
