Country,Teaching,International,Research,Citations,Income
United States of America,47.06666667,44.4712963,44.0287037,77.43888889,58.37032967
China,50.25454545,35.77272727,41.91818182,58.18181818,72.25454545
Israel,40.63333333,53.33333333,41.63333333,51.56666667,36.86666667
