Country,Teaching,International,Research,Citations,Income
United States of America,21.04965517,49.47034483,57.48965517,78.03310345,64.50220588
China,37.33243243,20.85945946,22.88378378,22.71081081,59.05
Israel,21.8,52.33333333,22.88333333,40.08333333,26.91666667
