univ_id,world_rank,university_name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students
69,68,"University of California, Santa Cruz",United States of America,38.3,16.7,50.4,99.6,51.7,61.4,17404,22.7,0.01
69,68,Yeshiva University,United States of America,63.5,53.3,46.7,74.4,51.7,61.4,6753,5.5,0.07
69,71,University of Sydney,Australia,49.8,89.6,61.9,64.3,90.8,61.2,41868,20.2,0.28
72,72,University of Virginia,United States of America,62,42.2,55.4,68.6,51.7,61.1,23845,10.2,0.12
73,73,University of Adelaide,Australia,46.5,87.5,38.8,90.5,52.7,60.7,20771,30.1,0.26
74,73,University of Southern California,United States of America,65.4,31.2,48.7,71.9,51.7,60.7,36534,12.9,0.2
74,75,William & Mary,United States of America,53.1,20.9,36.1,95.6,51.7,60.4,7867,11.8,0.07
76,76,Trinity College Dublin,Republic of Ireland,47.7,84.2,45.3,84.4,31.6,60.3,15521,18,0.25
77,77,King’s College London,United Kingdom,48.5,85.9,54.5,72.1,44.1,59.7,21394,11.4,0.37
78,78,Stony Brook University,United States of America,48.5,52.2,43.6,85.8,51.7,59.6,21908,10.9,0.24
79,79,Korea Advanced Institute of Science and Technology (KAIST),South Korea,71.3,36.7,63.4,45.5,100,59.5,9027,10,0.09
80,79,University of Sussex,United Kingdom,42.4,72.8,42.4,91.6,29.1,59.5,12001,17.4,0.35
80,81,The University of Queensland,Australia,51.8,74.2,53.4,69,57.1,59.1,34718,32.7,0.27
82,81,University of York,United Kingdom,47.9,66.6,46.2,81.9,36.2,59.1,24168,15.95,0.19
82,83,Heidelberg University,Germany,59.2,63.4,47.5,70.3,39.1,59,28881,24.5,0.17
84,83,University of Utah,United States of America,55.8,22.5,54.2,72,51.7,59,25674,16.9,0.09
84,85,Durham University,United Kingdom,39.8,65.7,44.1,91,33.9,58.9,15489,15.7,0.24
86,86,London School of Economics and Political Science,United Kingdom,62.4,99.5,56.2,51.6,38.4,58.3,24168,15.95,0.19
87,87,University of Manchester,United Kingdom,56.5,79.1,56.2,59.2,39,58,34938,15.3,0.34
88,88,"Royal Holloway, University of London",United Kingdom,37.7,92.9,36.2,93.2,30.5,57.9,8747,15.9,0.37
89,89,Lund University,Sweden,46.3,56.8,60.8,67.6,33.2,57.8,28251,11.5,0.15
90,90,University of Southampton,United Kingdom,50.8,69,47.8,72.9,37.7,57.7,20925,13.5,0.29
91,90,University of Zurich,Switzerland,56.6,87.9,47,65,43.8,57.7,26583,6.5,0.19
91,90,Wake Forest University,United States of America,54.6,24.4,42.9,79.2,51.7,57.7,7326,4.6,0.05
91,93,McMaster University,Canada,44.7,54.2,58.7,68.5,51.7,57.6,23823,19.3,0.15
94,94,University College Dublin,Republic of Ireland,42.4,87,36.6,86.3,51.7,57.5,22193,24.5,0.23
95,95,George Washington University,United States of America,60.6,39.6,43.1,70.2,51.7,57.3,20541,12,0.16
96,95,University of Arizona,United States of America,52.4,21.9,52.2,70.1,84.2,57.3,36429,12.7,0.08
96,95,University of Basel,Switzerland,50.2,91.3,37.1,78.3,45.8,57.3,12551,17.3,0.24
96,98,"University of Maryland, College Park",United States of America,45.4,35.4,48.6,79.2,51.7,57.2,31331,8.4,0.09
99,99,Dartmouth College,United States of America,44.7,31,49.2,79.7,51.7,57.1,6178,6.6,0.16
100,100,École Normale Supérieure de Lyon,France,51.1,37.6,34.4,88.8,26.1,57,2218,8,0.14
101,101,Technical University of Munich,Germany,50.4,85.3,43.2,71.2,51.7,56.9,35565,31.5,0.2
102,102,University of Helsinki,Finland,49,24.2,51.4,75.4,30.2,56.6,23505,15.1,0.06
103,103,University of St Andrews,United Kingdom,44.8,85.7,47.7,72.9,32.6,56.5,8338,12.7,0.47
104,104,Rensselaer Polytechnic Institute,United States of America,50.5,48,54.6,64.9,51.7,56.4,6671,15,0.16
105,105,"Rutgers, the State University of New Jersey",United States of America,53.4,26.8,64.7,55.7,51.7,56.3,37032,17.3,0.08
106,106,Purdue University,United States of America,57,62.6,67.8,43.9,51.7,56.2,39256,18.1,0.22
107,107,National Tsing Hua University,Taiwan,52.2,34.1,52.6,66.9,50.2,56.1,10221,13.5,0.05
108,107,University of Cape Town,South Africa,36.6,83.3,42.1,82.8,51.7,56.1,20040,12.1,0.18
108,109,Pennsylvania State University,United States of America,46.3,19.9,49.2,77.6,44,56,44501,12.4,0.12
110,109,Seoul National University,South Korea,62.3,44.9,54.1,54.6,43,56,26389,13.9,0.1
110,111,Hong Kong Baptist University,Hong Kong,32.9,71.8,32.5,97.6,26.7,55.6,10441,11,0.25
112,112,Bilkent University,Turkey,34.3,47.7,36.1,95.7,32.4,55.4,24168,15.95,0.19
113,112,Tokyo Institute of Technology,Japan,62.9,24.8,63.4,45.5,60.5,55.4,9586,7.3,0.13
113,114,Eindhoven University of Technology,Netherlands,55.4,44.9,51.7,56.9,99.8,55.3,8176,16,0.14
115,115,National Taiwan University,Taiwan,50.3,29.2,59,61.6,35.7,55.2,31891,11.9,0.07
116,115,University of Hawai’i at Mānoa,United States of America,38.3,34.2,47.6,81,51.7,55.2,24168,15.95,0.19
116,117,"University of California, Riverside",United States of America,38.6,63,47.4,78.3,30.5,55.1,20626,22,0.12
118,118,University of Geneva,Switzerland,46.6,95.7,49.7,63.1,32.7,55,15668,15,0.39
119,119,KU Leuven,Belgium,57.7,29.6,62.9,45.2,97.7,54.8,42503,41.9,0.18
120,120,Nanjing University,China,52.2,50.2,46.2,66,43.4,54.6,29743,13.3,0.1
121,120,Queen Mary University of London,United Kingdom,39.7,91,44.1,73.5,38.9,54.6,14260,14,0.4
121,122,Michigan State University,United States of America,50.4,30.4,52.7,63.7,51.7,54.5,44750,15.7,0.15
123,122,Technical University of Denmark,Denmark,46.2,64,46.9,64.6,95.5,54.5,9990,5,0.18
123,124,Ghent University,Belgium,52.8,24.7,59.1,52.8,97.1,54.4,32166,34.1,0.09
125,124,Lancaster University,United Kingdom,43.5,73.8,41.9,74.9,28.8,54.4,11512,14.9,0.33
125,124,Leiden University,Netherlands,47.3,40,54.9,59.3,100,54.4,21222,17.1,0.1
125,127,University of Alberta,Canada,53.7,71.6,58,49.7,44.5,54.3,36299,21.6,0.23
128,128,University of Glasgow,United Kingdom,45.6,55.1,50.3,65.1,61,54.2,22616,16,0.29
129,129,Stockholm University,Sweden,36.9,54.2,49.2,75.9,31.7,54,31715,23.7,0.08
130,130,Osaka University,Japan,61.7,20.1,63.4,40,73.4,53.4,23144,7.8,0.09
131,130,University of Victoria,Canada,32.9,54.2,48.3,79.1,27.4,53.4,17581,21.5,0.11
131,132,Tohoku University,Japan,60.3,20.1,62.5,41.2,82.3,53.3,17200,5,0.07
133,132,University of Freiburg,Germany,52.4,46.2,41.4,64.3,79.8,53.3,26467,31.2,0.16
133,132,University of Iowa,United States of America,48.6,31.7,59.8,54.8,51.7,53.3,27526,11.6,0.11
133,135,University of Bergen,Norway,39.9,66.6,42.1,73.1,41.5,52.7,11623,11.1,0.12
136,136,University of Lausanne,Switzerland,43.1,84.1,50.5,59.1,42.5,52.6,11964,13.1,0.22
137,137,University of Sheffield,United Kingdom,48.9,62.7,49.2,58.4,40.3,52.5,23311,15.5,0.31
138,138,University of Montreal,Canada,56.1,54.2,49.4,51.9,51.7,52.4,38264,20.3,0.25
139,139,VU University Amsterdam,Netherlands,47.6,30.6,51.6,58.5,81.4,52.3,23280,16.3,0.06
140,140,Pierre and Marie Curie University,France,51.9,30.7,37.2,71.5,26.4,52.2,27862,8.7,0.18
141,140,University of Dundee,United Kingdom,34.1,54.4,41,79.3,49.3,52.2,11628,15.3,0.25
141,142,University of Barcelona,Spain,34.1,22.3,33.7,91.9,30,52.1,47491,12.2,0.1
143,143,Utrecht University,Netherlands,43.4,52.6,53,58.8,55.3,52,30779,15.4,0.07
144,144,Wageningen University and Research Center,Netherlands,58.5,24.3,48.8,53,51.7,51.9,9248,17,0.21
145,145,University of Auckland,New Zealand,34.8,94.3,39.2,71.8,61.1,51.8,29787,18.9,0.28
146,145,University of Birmingham,United Kingdom,50.3,73.8,50.7,52.1,34.8,51.8,25295,16.4,0.23
146,147,Alexandria University,Egypt,29.5,19.3,28,99.8,36,51.6,127431,23.3,0.01
148,147,Uppsala University,Sweden,49.6,77.9,62.2,40.7,39.5,51.6,25266,18.2,0.12
148,149,Hong Kong Polytechnic University,Hong Kong,39.4,82.9,45.7,62.4,57.2,51.4,22064,25.9,0.26
150,149,University of Aberdeen,United Kingdom,37.8,86.1,45.2,64.6,47,51.4,12938,15.8,0.33
150,151,Delft University of Technology,Netherlands,55.5,47.4,67.7,29,99.4,51.3,15920,19.4,0.25
152,152,"Birkbeck, University of London",United Kingdom,41.2,88.5,35.8,70.6,27.4,51.2,9454,17.2,0.38
153,152,Newcastle University,United Kingdom,42.7,80.5,42.8,63.6,31.1,51.2,20174,15.2,0.29
153,152,University of New South Wales,Australia,49.5,70.7,48.9,51.2,60,51.2,38309,25.9,0.33
153,155,Pompeu Fabra University,Spain,35,44.1,33,84.7,40,51.1,10901,18.3,0.13
156,156,Indiana University,United States of America,48.5,37.7,42.5,63.2,51.7,51,62468,13.6,0.13
157,156,Iowa State University,United States of America,49.3,23.2,49.6,58.2,49.6,51,29991,17.4,0.11
157,158,Georgia Health Sciences University,United States of America,67.3,16.3,41.7,48.9,50.1,50.7,24168,15.95,0.19
159,159,Erasmus University Rotterdam,Netherlands,39.4,58.6,43.6,65.5,51.7,50.4,20580,18.9,0.18
160,159,University of Delaware,United States of America,38.4,16.8,51.9,61.3,100,50.4,19262,15.9,0.1
160,161,Arizona State University,United States of America,43,24.1,44.1,66.9,51.7,50.3,83236,29.9,0.09
162,161,Boston College,United States of America,40.1,31.6,33.6,78,51.7,50.3,13216,17.4,0.19
162,163,National Sun YatSen University,Taiwan,46.1,21.3,50.6,58.9,37.5,50.2,9336,19.6,0.04
164,164,Georgetown University,United States of America,65.1,24.7,44.7,45,51.7,50.1,15408,8.5,0.14
165,165,University of Amsterdam,Netherlands,42.5,38.2,49.2,60.2,38.8,50,24570,14.4,0.11
